event_id,domain,close_time,resolve_time,market_prob,baseline_prob,outcome
fpd-sca-her-2026-08-14-total-5pt5,sports,1786755600.0,1786759200.0,0.059,0.059,0
fpd-spo-int-2026-08-28-total-3pt5,sports,1787965200.0,1787968800.0,0.31,0.31,0
fpd-spo-int-2026-08-28-exact-score-2-0,sports,1787965200.0,1787968800.0,0.105,0.105,1
fpd-esc-car-2026-08-22-total-2pt5,sports,1787436000.0,1787439600.0,0.485,0.485,1
fpd-sca-her-2026-08-14-spread-away-1pt5,sports,1786755600.0,1786759200.0,0.175,0.175,0
fpd-esc-car-2026-08-22-btts,sports,1787436000.0,1787439600.0,0.545,0.545,1
fpd-ala-gua-2026-04-01-btts,sports,1775091600.0,1775095200.0,0.505,0.505,1
fpd-car-her-2026-04-12-draw,sports,1775869200.0,1776027600.0,0.28,0.28,0
fpd-per-ala-2026-08-29-first-half-total-2pt5,sports,1788051600.0,1788055200.0,0.13,0.13,0
fpd-pun-sap-2026-08-08-total-1pt5,sports,1786237200.0,1786240800.0,0.775,0.775,1
fpd-sap-car-2026-08-15-draw,sports,1786842000.0,1786845600.0,0.255,0.255,0
fpd-sca-gua-2026-04-12-total-2pt5,sports,1776034800.0,1776027600.0,0.415,0.415,1
fpd-ala-sap-2026-04-19-draw,sports,1776636000.0,1776632400.0,0.32,0.32,1
fpd-gua-per-2026-04-19-spread-away-1pt5,sports,1776546000.0,1776632400.0,0.085,0.085,0
fpd-ala-pun-2026-08-15-total-2pt5,sports,1786827600.0,1786831200.0,0.555,0.555,1
fpd-esc-per-2026-08-08-total-0pt5,sports,1786230000.0,1786233600.0,0.925,0.925,0
fpd-her-ala-2026-08-09-total-1pt5,sports,1786316400.0,1786320000.0,0.695,0.695,1
fpd-sca-her-2026-08-14-total-3pt5,sports,1786755600.0,1786759200.0,0.225,0.225,0
fpd-spo-ala-2026-04-12-spread-home-2pt5,sports,1775955600.0,1776027600.0,0.355,0.355,0
fpd-her-spo-2026-08-22-total-4pt5,sports,1787446800.0,1787450400.0,0.09,0.09,0
