league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,A,6,0.2,0.2052,0.2169,0.2181,0.2262,0.2163,0,298771
E0,epl-liv-bri-2025-12-13,2025-12-13T15:00:00+00:00,A,24,0.21,0.2052,0.2169,0.2181,0.2262,0.2163,0,298771
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,H,1,0.19,0.2239,0.1885,0.1987,0.1813,0.1777,0,1053152
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,H,6,0.17,0.2239,0.1885,0.1987,0.1813,0.1777,0,1053152
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,H,24,0.2,0.2239,0.1885,0.1987,0.1813,0.1777,0,1053152
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,D,1,0.23,0.2423,0.2323,0.236,0.2309,0.2369,0,118319
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,D,6,0.22,0.2423,0.2323,0.236,0.2309,0.2369,0,118319
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,D,24,0.23,0.2423,0.2323,0.236,0.2309,0.2369,0,118319
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,A,1,0.6,0.5338,0.5792,0.5653,0.5878,0.5854,1,3601031
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,A,6,0.6,0.5338,0.5792,0.5653,0.5878,0.5854,1,3601031
E0,epl-wol-mun-2025-12-08,2025-12-08T20:00:00+00:00,A,24,0.59,0.5338,0.5792,0.5653,0.5878,0.5854,1,3601031
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,H,1,0.38,0.3685,0.3811,0.3947,0.3848,0.3837,0,328354
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,H,6,0.37,0.3685,0.3811,0.3947,0.3848,0.3837,0,328354
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,H,24,0.36,0.3685,0.3811,0.3947,0.3848,0.3837,0,328354
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,D,1,0.3,0.2896,0.2859,0.2786,0.2863,0.2892,0,125934
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,D,6,0.3,0.2896,0.2859,0.2786,0.2863,0.2892,0,125934
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,D,24,0.3,0.2896,0.2859,0.2786,0.2863,0.2892,0,125934
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,A,1,0.34,0.3419,0.333,0.3267,0.3289,0.3271,1,243740
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,A,6,0.34,0.3419,0.333,0.3267,0.3289,0.3271,1,243740
E0,epl-ful-cry-2025-12-07,2025-12-07T16:30:00+00:00,A,24,0.35,0.3419,0.333,0.3267,0.3289,0.3271,1,243740
